,Original Image,Gabor1,Gabor2,Gabor3,Gabor4,Gabor5,Gabor6,Gabor7,Gabor8,Gabor9,Gabor10,Gabor11,Gabor12,Gabor13,Gabor14,Gabor15,Gabor16,Gabor17,Gabor18,Gabor19,Gabor20,Gabor21,Gabor22,Gabor23,Gabor24,Gabor25,Gabor26,Gabor27,Gabor28,Gabor29,Gabor30,Gabor31,Gabor32
2970,153,0,0,255,255,247,137,100,56,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,56,0,0,255,255,68,36,115,68
2971,153,0,0,255,255,249,138,101,56,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,56,0,0,255,255,62,33,120,72
2972,154,0,0,255,255,249,138,101,56,0,0,255,255,0,0,0,0,0,0,255,255,87,1,255,57,0,0,255,255,69,36,118,70
2973,153,0,0,255,255,248,138,101,56,0,0,255,255,0,0,0,0,0,0,255,255,89,1,255,56,0,0,255,255,70,37,123,73
2974,153,0,0,255,255,249,136,101,55,0,0,255,255,0,0,0,0,0,0,255,255,91,1,255,55,0,0,255,255,71,37,133,81
2975,146,0,0,255,255,247,135,100,55,0,0,255,255,0,0,0,0,0,0,255,255,86,1,255,53,0,0,255,255,67,35,123,73
2976,140,0,0,255,255,243,133,98,54,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,53,0,0,255,255,67,35,110,63
2977,147,0,0,255,255,239,132,97,53,0,0,255,255,0,0,0,0,0,0,255,255,86,1,255,54,0,0,255,255,67,35,120,72
2978,151,0,0,255,255,236,130,96,53,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,54,0,0,255,255,68,36,132,81
2979,142,0,0,255,255,234,128,95,52,0,0,255,255,0,0,0,0,0,0,255,255,89,1,255,52,0,0,255,255,70,37,121,72
2980,133,0,0,255,255,234,127,95,51,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,49,0,0,255,255,65,34,113,67
2981,133,0,0,255,255,233,126,94,51,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,49,0,0,255,255,64,34,117,70
2982,137,0,0,255,255,231,126,93,51,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,50,0,0,255,255,66,35,119,71
2983,143,0,0,255,255,227,126,92,51,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,52,0,0,255,255,66,35,117,70
2984,143,0,0,255,255,225,125,91,51,0,0,255,255,0,0,0,0,0,0,255,255,79,1,255,52,0,0,255,255,61,32,112,68
2985,137,0,0,255,255,225,124,91,50,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,50,0,0,255,255,63,33,108,64
2986,132,0,0,255,255,224,123,91,50,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,49,0,0,255,255,60,31,109,65
2987,131,0,0,255,255,223,121,90,49,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,48,0,0,255,255,65,35,114,68
2988,130,0,0,255,255,221,120,89,49,0,0,255,255,0,0,0,0,0,0,255,255,82,1,255,48,0,0,255,255,64,33,117,70
2989,133,0,0,255,255,218,119,88,48,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,48,0,0,255,255,63,33,112,67
2990,129,0,0,255,255,218,119,88,48,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,48,0,0,255,255,64,34,110,65
2991,132,0,0,255,255,218,119,88,48,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,48,0,0,255,255,62,33,114,69
2992,131,0,0,255,255,220,120,89,48,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,48,0,0,255,255,63,33,114,68
2993,128,0,0,255,255,221,120,89,49,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,48,0,0,255,255,63,33,110,65
2994,135,0,0,255,255,220,121,89,49,0,0,255,255,0,0,0,0,0,0,255,255,75,1,255,49,0,0,255,255,59,31,107,64
2995,135,0,0,255,255,219,122,88,49,0,0,255,255,0,0,0,0,0,0,255,255,74,1,255,50,0,0,255,255,57,30,104,62
2996,139,0,0,255,255,217,121,88,49,0,0,255,255,0,0,0,0,0,0,255,255,77,1,252,51,0,0,255,255,62,33,103,61
2997,137,0,0,255,255,213,120,86,48,0,0,255,255,0,0,0,0,0,0,255,255,69,1,248,50,0,0,255,255,52,27,105,64
2998,129,0,0,255,255,212,117,86,47,0,0,255,255,0,0,0,0,0,0,255,255,78,1,251,47,0,0,255,255,63,34,102,60
2999,120,0,0,255,255,210,114,85,46,0,0,255,255,0,0,0,0,0,0,255,255,77,1,254,45,0,0,255,255,59,31,109,65
3000,121,0,0,255,255,210,111,85,45,0,0,255,255,0,0,0,0,0,0,255,255,84,1,255,43,0,0,255,255,67,35,119,72
3001,113,0,0,255,255,208,111,84,45,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,42,0,0,255,255,59,31,114,68
3002,120,0,0,255,255,206,111,83,45,0,0,255,255,0,0,0,0,0,0,255,255,78,1,248,43,0,0,255,255,64,34,101,59
3003,124,0,0,255,255,203,113,82,46,0,0,255,255,0,0,0,0,0,0,255,255,68,1,239,46,0,0,255,255,50,26,101,61
3004,135,0,0,255,255,203,114,82,46,0,0,255,255,0,0,0,0,0,0,255,255,75,1,237,48,0,0,255,255,61,33,101,61
3005,128,0,0,255,255,203,114,82,46,0,0,255,255,0,0,0,0,0,0,255,255,69,1,237,48,0,0,255,255,51,27,100,60
3006,126,0,0,255,255,206,113,83,46,0,0,255,255,0,0,0,0,0,0,255,255,76,1,245,45,0,0,255,255,62,33,101,60
3007,115,0,0,255,255,207,112,84,45,0,0,255,255,0,0,0,0,0,0,255,255,73,1,252,43,0,0,255,255,54,28,106,63
3008,119,0,0,255,255,207,111,84,45,0,0,255,255,0,0,0,0,0,0,255,255,77,1,251,43,0,0,255,255,62,33,104,62
3009,120,0,0,255,255,206,112,83,45,0,0,255,255,0,0,0,0,0,0,255,255,77,1,249,45,0,0,255,255,60,31,107,64
3010,130,0,0,255,255,207,113,84,46,0,0,255,255,0,0,0,0,0,0,255,255,81,1,251,47,0,0,255,255,65,34,116,70
3011,129,0,0,255,255,210,115,85,47,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,47,0,0,255,255,61,32,115,70
3012,122,0,0,255,255,214,117,87,47,0,0,255,255,0,0,0,0,0,0,255,255,74,1,255,46,0,0,255,255,57,30,100,58
3013,127,0,0,255,255,218,119,88,48,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,47,0,0,255,255,63,34,101,59
3014,135,0,0,255,255,224,122,91,49,0,0,255,255,0,0,0,0,0,0,255,255,84,1,255,50,0,0,255,255,64,33,125,76
3015,145,0,0,255,255,227,125,92,51,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,51,0,0,255,255,66,35,122,75
3016,135,0,0,255,255,228,127,92,51,0,0,255,255,0,0,0,0,0,0,255,255,74,1,255,51,0,0,255,255,57,30,97,56
3017,142,0,0,255,255,230,129,93,52,0,0,255,255,0,0,0,0,0,0,255,255,78,1,255,52,0,0,255,255,64,34,99,57
3018,149,0,0,255,255,233,129,94,52,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,54,0,0,255,255,62,32,128,79
3019,146,0,0,255,255,232,128,94,52,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,53,0,0,255,255,63,33,119,72
3020,134,0,0,255,255,229,127,93,51,0,0,255,255,0,0,0,0,0,0,255,255,80,1,255,51,0,0,255,255,65,34,96,54
3021,135,0,0,255,255,227,125,92,51,0,0,255,255,0,0,0,0,0,0,255,255,77,1,255,50,0,0,255,255,58,30,110,66
3022,144,0,0,255,255,225,123,91,50,0,0,255,255,0,0,0,0,0,0,255,255,85,1,255,50,0,0,255,255,67,36,126,78
3023,129,0,0,255,255,224,121,91,49,0,0,255,255,0,0,0,0,0,0,255,255,90,1,255,49,0,0,255,255,69,36,122,72
3024,131,0,0,255,255,225,121,91,49,0,0,255,255,0,0,0,0,0,0,255,255,88,1,255,47,0,0,255,255,71,38,120,72
3025,124,0,0,255,255,228,121,92,49,0,0,255,255,0,0,0,0,0,0,255,255,81,1,255,46,0,0,255,255,60,31,123,74
3026,130,0,0,255,255,231,124,93,50,0,0,255,255,0,0,0,0,0,0,255,255,92,1,255,48,0,0,255,255,75,40,117,68
3027,141,0,0,255,255,232,127,94,52,0,0,255,255,0,0,0,0,0,0,255,255,83,1,255,52,0,0,255,255,63,33,123,74
